timestamp,user_id,ip_address,endpoint,method,status_code,response_time_ms,bytes_sent,user_agent
01-01-2024 00:39,user_0398,192.168.219.35,/api/logout,GET,200,236.6,7700,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0
01-01-2024 00:43,user_1219,192.168.112.125,/api/dashboard,GET,200,180.61,2583,Mozilla/5.0 (X11; Linux x86_64) Firefox/121.0
01-01-2024 01:00,user_1653,192.168.72.19,/static/images/logo.png,GET,200,41.73,429644,Mozilla/5.0 (iPad; CPU OS 17_0 like Mac OS X) Safari/604.1
01-01-2024 01:04,user_0418,192.168.150.213,/api/login,POST,400,403.8,1338,Mozilla/5.0 (iPad; CPU OS 17_0 like Mac OS X) Safari/604.1
01-01-2024 01:25,user_1060,192.168.20.196,/api/cart/add,GET,200,161.8,2443,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15
01-01-2024 01:27,user_1956,10.0.7.142,/static/css/main.css,GET,200,62.27,399720,Mozilla/5.0 (X11; Linux x86_64) Firefox/121.0
01-01-2024 01:28,user_1905,192.168.61.242,/api/payment/process,POST,200,568.15,6547,Mozilla/5.0 (iPad; CPU OS 17_0 like Mac OS X) Safari/604.1
01-01-2024 01:35,,192.168.174.48,/api/products/search,GET,201,1124.91,4423,PostmanRuntime/7.36.0
01-01-2024 01:43,user_1064,192.168.224.214,/api/settings,POST,201,380.01,1509,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) Mobile/15E148
01-01-2024 02:23,user_1158,192.168.165.155,/api/payment/process,POST,500,7712.09,1120,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15
01-01-2024 02:24,user_1661,192.168.231.31,/static/js/app.js,GET,200,12.87,435840,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0
01-01-2024 02:27,user_0057,192.168.216.153,/api/dashboard,GET,200,62.22,7966,PostmanRuntime/7.36.0
01-01-2024 02:45,user_0980,192.168.5.175,/static/css/main.css,GET,200,38.27,426890,python-requests/2.31.0
01-01-2024 03:00,,192.168.230.63,/health,GET,200,217.07,2274,Mozilla/5.0 (iPad; CPU OS 17_0 like Mac OS X) Safari/604.1
01-01-2024 03:10,user_0039,192.168.48.25,/api/cart/remove,DELETE,200,206.99,2832,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0
