day,avg_response_time,total_requests,error_count,success_rate
1,498.3598233215548,283,78,72.44
2,474.0596206896552,290,71,75.52
3,499.17471875,320,78,75.62
4,737.1587878787878,297,76,74.41
5,496.24362711864404,295,69,76.61
6,551.4494019933554,301,67,77.74
7,462.3089010989011,273,69,74.73
8,405.4414893617021,282,73,74.11
9,348.8825684931507,292,58,80.14
10,395.2278723404255,282,58,79.43
11,508.2643197278911,294,68,76.87
12,491.2451111111111,270,72,73.33
13,575.8136054421769,294,66,77.55
14,487.22367283950615,324,66,79.63
15,463.34134751773047,282,72,74.47
16,514.8298666666666,300,70,76.67
17,554.3189869281046,306,74,75.82
18,389.8035153583618,293,73,75.09
19,508.5516140350877,285,68,76.14
20,498.35925531914893,282,71,74.82
21,423.07820846905537,307,56,81.76
22,446.04511864406777,295,79,73.22
23,462.52625000000006,304,78,74.34
24,444.6547987616099,323,68,78.95
25,410.11981132075476,318,70,77.99
26,472.4176344086021,279,75,73.12
27,494.34388489208635,278,71,74.46
28,391.7829663608563,327,69,78.9
29,441.64356435643566,303,73,75.91
30,424.7557324840764,314,62,80.25
31,410.4331271477663,291,70,75.95
