,endpoint,avg_response_time,total_requests,total_bytes,error_count,error_rate
0,/api/cart/add,358.4232938856016,507,1895222,141,27.81
1,/api/cart/remove,371.22427807486633,561,2201698,145,25.85
2,/api/checkout,951.659405204461,538,2222922,51,9.48
3,/api/dashboard,352.71651542649727,551,2188996,126,22.87
4,/api/login,414.06367088607595,553,2234808,131,23.69
5,/api/logout,383.9855493482309,537,2051730,138,25.7
6,/api/orders/history,335.0682261208577,513,1888154,133,25.93
7,/api/payment/process,1497.2606972111553,502,2009469,56,11.16
8,/api/products/details,529.0162568807339,545,2121518,136,24.95
9,/api/products/search,983.9754104477611,536,2148032,129,24.07
10,/api/settings,313.79860687022904,524,1969503,128,24.43
11,/api/users/profile,372.82986964618254,537,1986389,145,27.0
12,/health,381.27464594127804,579,2353807,134,23.14
13,/metrics,354.8407664884136,561,2115749,151,26.92
14,/static/css/main.css,232.00252669039145,562,145667185,133,23.67
15,/static/images/logo.png,130.35387568555757,547,142409676,137,25.05
16,/static/js/app.js,170.0095668549906,531,137980327,154,29.0
