hour,avg_response_time,total_requests,error_count,success_rate
0,442.31131474103586,251,49,80.48
1,458.664,270,64,76.3
2,375.8890625,256,50,80.47
3,393.2873962264151,265,57,78.49
4,366.0379295154185,227,58,74.45
5,491.9155909090909,220,56,74.55
6,577.9746411483253,209,58,72.25
7,424.6675663716814,226,56,75.22
8,493.38279166666666,240,64,73.33
9,484.39257410296415,641,140,78.16
10,427.937523659306,634,136,78.55
11,456.2876411960132,602,139,76.91
12,478.14140432098765,648,157,75.77
13,417.0228667790894,593,148,75.04
14,493.43017713365543,621,150,75.85
15,483.53495711835336,583,152,73.93
16,441.6964847512038,623,134,78.49
17,516.8772093023256,602,148,75.42
18,804.4274583333333,240,52,78.33
19,616.0310980392156,255,61,76.08
20,468.29818181818183,242,56,76.86
21,466.08501901140687,263,72,72.62
22,470.75065789473683,228,62,72.81
23,423.210693877551,245,49,80.0
