user_id,avg_response_time,total_requests,total_bytes,error_count,success_rate
Anonymous,519.7890647482014,278,13816138,78.0,71.94
user_0001,292.6225,16,1687006,4.0,75.0
user_0002,589.2583333333333,24,1324353,3.0,87.5
user_0003,394.36799999999994,25,1441336,6.0,76.0
user_0004,603.3972413793103,29,1191817,10.0,65.52
user_0005,673.3352777777777,36,2720768,12.0,66.67
user_0006,836.9387999999999,25,1060535,4.0,84.0
user_0007,685.118064516129,31,1323428,6.0,80.65
user_0008,610.6466666666666,27,1146166,8.0,70.37
user_0009,475.1432142857143,28,259098,11.0,60.71
user_0010,502.5548387096774,31,1070498,8.0,74.19
user_0011,612.3920833333333,24,1138875,4.0,83.33
user_0012,650.065,30,973823,7.0,76.67
user_0013,496.20677419354837,31,1117321,9.0,70.97
user_0014,357.125,34,1001351,7.0,79.41
user_0015,268.1513157894737,38,1923781,9.0,76.32
user_0016,293.07961538461535,26,896870,5.0,80.77
user_0017,488.79030303030305,33,1565948,11.0,66.67
user_0018,393.7348148148148,27,1236112,7.0,74.07
user_0019,325.67451612903227,31,1360953,9.0,70.97
user_0020,640.9420000000001,30,1402991,7.0,76.67
user_0021,249.91181818181818,33,2462649,2.0,93.94
user_0022,907.9592,25,1781683,7.0,72.0
user_0023,359.98,32,1637417,6.0,81.25
user_0024,309.1138235294117,34,2402783,9.0,73.53
user_0025,494.81275862068964,29,1814829,7.0,75.86
user_0026,396.83125,40,1295336,10.0,75.0
user_0027,380.76875,32,812266,10.0,68.75
user_0028,383.1923076923077,26,1945647,4.0,84.62
user_0029,322.6954166666667,24,640999,4.0,83.33
user_0030,4205.585,24,1077714,7.0,70.83
user_0031,670.875,22,326277,10.0,54.55
user_0032,323.11333333333334,24,524991,5.0,79.17
user_0033,814.4822222222223,27,1664619,5.0,81.48
user_0034,471.19571428571436,28,2180049,8.0,71.43
user_0035,493.88464285714286,28,1064199,8.0,71.43
user_0036,253.3915789473684,19,1776686,4.0,78.95
user_0037,455.90333333333336,30,1545165,12.0,60.0
user_0038,441.86945945945945,37,2450806,6.0,83.78
user_0039,435.3545454545454,22,1971062,3.0,86.36
user_0040,509.40777777777777,27,1771336,6.0,77.78
user_0041,353.6185,20,859064,4.0,80.0
user_0042,513.5140625,32,1495757,6.0,81.25
user_0043,286.19684210526316,19,1222051,5.0,73.68
user_0044,340.65814814814814,27,605218,4.0,85.19
user_0045,320.42545454545456,22,1550898,4.0,81.82
user_0046,331.09499999999997,24,1870051,4.0,83.33
user_0047,2687.7941666666666,24,2280553,7.0,70.83
user_0048,386.27657142857146,35,2874655,8.0,77.14
user_0049,226.70451612903227,31,1835495,5.0,83.87
user_0050,558.5741379310344,29,1531364,9.0,68.97
user_0051,309.99151515151516,33,2021832,4.0,87.88
user_0052,605.1735714285714,28,1309431,9.0,67.86
user_0053,344.3303125,32,1360977,11.0,65.62
user_0054,859.5015909090909,44,1551541,11.0,75.0
user_0055,343.85833333333335,30,1299191,4.0,86.67
user_0056,454.80428571428575,28,1730755,6.0,78.57
user_0057,261.42758620689654,29,430359,8.0,72.41
user_0058,259.50605263157894,38,2433043,7.0,81.58
user_0059,556.1215151515153,33,1483905,7.0,78.79
user_0060,417.23999999999995,28,1679532,5.0,82.14
user_0061,350.1806896551724,29,736234,7.0,75.86
user_0062,396.78066666666666,30,2414622,5.0,83.33
user_0063,374.11459459459456,37,2491870,7.0,81.08
